Molecule,OBP

C11H22O 十一醛,GmelGOBP2
C2H4O2 乙酸,SlitOBP11
C7H14O 2-庚酮,AcerCSP4
C6H12O 己醛,BhorOBPm2 C-ter113
2-戊酮,SzeaOBP1
